,weight
ASG,0.97210348270157
EGL,0.0060296302101062555
MMH,0.003387436058720458
MAC,0.0033495666520926316
GOIL,0.0033365643120578845
AGA,0.0020884473149814556
HORDS,0.0013964583713322123
SAMBA,0.0013754810468051182
ACCESS,0.001141887206805385
DASPHARMA,0.0009127370862232449
SWL,0.0007145867414706067
ALLGH,0.000527373509630363
SIC,0.00048779285606032004
GCB,0.00035485174146435806
CMLT,0.00030671294604953743
CPC,0.0002866310771985918
DIGICUT,0.0002859413500310867
TOTAL,0.00028322429449238404
UNIL,0.00027981064512978777
RBGH,0.0002639193143057266
ALW,0.00024013115787620013
TBL,0.0002333036088658709
SCB PREF,0.00022817980630872314
