,0
MAC,0.0999999999980915
MMH,0.09999999999806258
ASG,0.09999999999624143
DIGICUT,0.0999999999958969
AGA,0.09723990270269596
EGL,0.06993026584826588
GOIL,0.06199710134151762
HORDS,0.05719183951338655
DASPHARMA,0.054558169628485836
SAMBA,0.05301411029410404
ACCESS,0.036298191678719643
SWL,0.029829777967539533
ALLGH,0.01652620337774695
IIL,0.015593824276530084
CMLT,0.013230777438248312
TOTAL,0.011804364539542277
CPC,0.01176186496837595
GCB,0.011692601741171331
UNIL,0.009944199184980925
SIC,0.009859081837439694
ALW,0.009521793767004311
TBL,0.009133299411050977
SCB PREF,0.0047124280859863355
BOPP,0.004174176950371019
FML,0.0038431627879099975
SCB,0.003033896049863417
ETI,0.0028574308918235406
PBC,0.0022515357257214545
