,mean_daily,annual_return_approx,annual_vol
TOTAL,0.015280310808680427,3.8506383237874675,3.384914659481908
FML,0.014546754522344373,3.665782139630782,3.305506360193035
ETI,0.014545727233566706,3.6655232628588097,3.2911957481865395
BOPP,0.011338388832960318,2.857273985906,2.3784354782402928
CPC,0.009038308060654431,2.2776536312849167,2.3325476940165366
ALW,0.008799029424378683,2.217355414943428,2.522012920353411
TBL,0.008711902566657036,2.1953994467975733,2.6757536281428767
SCB,0.008074148329910987,2.034685379137569,2.7144823753790424
UNIL,0.007406007064070928,1.866313780145874,1.8873147711875218
CAL,0.0073537491790490505,1.8531447931203606,2.141142060245563
SOGEGH,0.007081954448466939,1.7846525210136686,2.0565948224012076
GCB,0.006879336673942433,1.7335928418334932,1.7078109328773767
GGBL,0.006637694164756815,1.6726989295187176,1.8057178169543788
CLYD,0.005284085642695568,1.3315895819592831,1.639571170748735
MTNGH,0.0049412836444220325,1.2452034783943522,1.4136938498074496
EGH,0.004020681847933286,1.013211825679188,1.415067964262671
PBC,0.003868307752826475,0.9748135537122716,1.5672295893519235
ALLGH,0.0020199999475927054,0.5090399867933618,0.8851930167759214
SWL,0.0012835860601223734,0.3234636871508381,0.7900143922915612
CMLT,0.001075650891680656,0.2710640247035253,0.7627014752673578
ACCESS,0.000902782013223812,0.22750106733240064,0.4297026712600937
ADB,0.0008175407788406853,0.2060202762678527,0.552028244191706
SIC,0.0007309226165314505,0.18419249936592552,0.5497448053584671
SCB PREF,0.0006887354065050657,0.17356132243927655,0.5447910919132635
EGL,0.0006289557382111304,0.15849684602920486,0.27155762134172434
GOIL,0.0006204644523757906,0.15635704199869924,0.25001317305027665
HORDS,0.00046676044020883063,0.11762363093262532,0.38313520313032234
MAC,0.00017675604689397237,0.044542523817281035,0.09001571676948
RBGH,0.00015169631414941928,0.038227471165653656,0.28960112372298374
AGA,9.433639075439907e-05,0.023772770470108565,0.16345545007491805
SAMBA,5.311309281459193e-05,0.013384499389277165,0.2732048841211563
IIL,6.630573285131965e-06,0.0016709044678532552,0.3014339411160426
ASG,2.4104530295232434e-06,0.0006074341634398574,0.0018475908586560782
DIGICUT,0.0,0.0,0.0
MMH,-9.051685122046982e-06,-0.0022810246507558394,0.10671525518369442
DASPHARMA,-2.282890827782473e-05,-0.005752884886011831,0.06646597877803997
TLW,-0.00020555586369482037,-0.051800077651094734,0.13163455524521475
